Latin name,Family,Origem (Fonte? Flora do Brasil 2020?,Brasil,order,family,pollinator spp
Citrus limonum; Citrus aurantifolia,Rutaceae,"China to Peninsula Malaysia, Borneo, Philippines",Exotica,Hymenoptera,Apidae,Apis mellifera
Macadamia integrifolia Maiden & Betche,Protaceae,"New South Wales, Queensland",Exotica,Hymenoptera,Apidae,Apis mellifera
Ocimum basilicum; Ocimum selloi ,Lamiaceae,Tropics & Subtropics,Nativa,Hymenoptera,Apidae,Apis mellifera
Ocimum basilicum; Ocimum selloi ,Lamiaceae,Tropics & Subtropics,Nativa,Hymenoptera,Halictidae,Augochloropsis electra
Passiflora cincinnata Mast.,Passifloraceae,S. Tropical America,Nativa,Hymenoptera,Apidae,Centris sp.
Passiflora cincinnata Mast.,Passifloraceae,S. Tropical America,Nativa,Hymenoptera,Apidae,Xylocopa grisescens
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Acantophus excellens
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Bombus pauloensis
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Centris collaris
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Centris denudans
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Centris flavifrons
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Centris longimana
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Centris lutea
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Centris scopipes
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Centris similis
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Centris tarsata
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Centris sponsa
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Epicharis affinis
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Epicharis bicolor
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Epicharis fasciata
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Epicharis flava
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Euglossa sp.
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Eulaema cingulata
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Eulaema nigrita
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Xylocopa frontalis
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Xylocopa ordinaria
Passiflora alata,Passifloraceae,Ecuador to Brazil and NE. Argentina,Nativa,Hymenoptera,Apidae,Xylocopa suspecta
Rubus spp.,Rosaceae,Cosmopolita,Nativa,Hymenoptera,Apidae,Apis mellifera
Passiflora coccinea Aubl.,Passifloraceae,S. Tropical America,Nativa,Apodiformes,Trochilidae,Amazilia sp.
Passiflora coccinea Aubl.,Passifloraceae,S. Tropical America,Nativa,Apodiformes,Trochilidae,Phaetornis superciliosus
Passiflora nitida Kunth,Passifloraceae,Costa Rica to S. Tropical America,Nativa,Hymenoptera,Apidae,Xylocopa frontalis
Passiflora nitida Kunth,Passifloraceae,Costa Rica to S. Tropical America,Nativa,Hymenoptera,Apidae,Xylocopa grisescens
Psidium firmum O.Berg,Myrtaceae,"Brazil Northeast, Brazil Southeast, Brazil West-Central",Nativa,Hymenoptera,Apidae,Bombus sp.
