"","Latin.name","Family","Origem..Fonte..Flora.do.Brasil.2020.","Brasil","order","family","pollinator.spp","group"
"111","Elaeis oleifera  (Kunth) Cortés","Arecaceae","Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname","Nativa","Hymenoptera","Apidae","Apis mellifera","Bees"
"112","Elaeis oleifera  (Kunth) Cortés","Arecaceae","Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname","Nativa","Hymenoptera","Apidae","Partamona sp.","Bees"
"113","Elaeis oleifera  (Kunth) Cortés","Arecaceae","Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Honduras, Nicaragua, Panamá, Peru, Suriname","Nativa","Hymenoptera","Apidae","Trigona sp.","Bees"
"114","Myrciaria dubia (Kunth) McVaugh","Myrtaceae","S. Tropical America.","Nativa","Hymenoptera","Apidae","Apis mellifera","Bees"
"115","Myrciaria dubia (Kunth) McVaugh","Myrtaceae","S. Tropical America.","Nativa","Hymenoptera","Apidae","Melipona compressipes","Bees"
"116","Myrciaria dubia (Kunth) McVaugh","Myrtaceae","S. Tropical America.","Nativa","Hymenoptera","Apidae","Nannotrigona punctata","Bees"
"117","Myrciaria dubia (Kunth) McVaugh","Myrtaceae","S. Tropical America.","Nativa","Hymenoptera","Apidae","Partamona cupira","Bees"
"118","Myrciaria dubia (Kunth) McVaugh","Myrtaceae","S. Tropical America.","Nativa","Hymenoptera","Apidae","Trigona branneri","Bees"
"119","Myrciaria dubia (Kunth) McVaugh","Myrtaceae","S. Tropical America.","Nativa","Hymenoptera","Apidae","Trigona pallens","Bees"
"120","Myrciaria dubia (Kunth) McVaugh","Myrtaceae","S. Tropical America.","Nativa","Hymenoptera","Apidae","Trigona recursa","Bees"
"121","Myrciaria dubia (Kunth) McVaugh","Myrtaceae","S. Tropical America.","Nativa","Hymenoptera","Halictidae","Augochlora sp.","Bees"
"122","Annona cornifolia  A.St.-Hil.","Annonaceae","Brazil to Bolivia","Nativa","Coleoptera","Scarabaeidae","Cyclocephala atricapilla","Other insects"
"123","Annona cornifolia  A.St.-Hil.","Annonaceae","Brazil to Bolivia","Nativa","Coleoptera","Scarabaeidae","Cyclocephala quatuordecumpunctata","Other insects"
"124","Cocos nucifera L.","Arecaceae","Central Malesia to SW. Pacific","Exotica","Hymenoptera","Apidae","Apis mellifera","Bees"
"125","Cocos nucifera L.","Arecaceae","Central Malesia to SW. Pacific","Exotica","Hymenoptera","Apidae","Plebeia poecilochroa","Bees"
"126","Cocos nucifera L.","Arecaceae","Central Malesia to SW. Pacific","Exotica","Hymenoptera","Apidae","Trigona guianae","Bees"
"127","Cocos nucifera L.","Arecaceae","Central Malesia to SW. Pacific","Exotica","Hymenoptera","Apidae","Trigona spinipes","Bees"
"128","Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina","Brassicaceae","Ethiopia, Kenya, Rwanda, Tanzania, Uganda, Zaïre","Exotica","Hymenoptera","Apidae","Apis mellifera","Bees"
"129","Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina","Brassicaceae","Ethiopia, Kenya, Rwanda, Tanzania, Uganda, Zaïre","Exotica","Hymenoptera","Apidae","Exomalopsis fulvofasciata","Bees"
"130","Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina","Brassicaceae","Ethiopia, Kenya, Rwanda, Tanzania, Uganda, Zaïre","Exotica","Hymenoptera","Apidae","Geotrigona mombuca","Bees"
"131","Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina","Brassicaceae","Ethiopia, Kenya, Rwanda, Tanzania, Uganda, Zaïre","Exotica","Hymenoptera","Apidae","Plebeia sp.","Bees"
"132","Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) Prina","Brassicaceae","Ethiopia, Kenya, Rwanda, Tanzania, Uganda, Zaïre","Exotica","Hymenoptera","Halictidae","Dialictus sp.","Bees"
"133","Lippia alba (Mill.) N.E.Br. ex Britton & P.Wilson","Verbenaceae ","Tropical & Subtropical America","Nativa","Hymenoptera","Apidae","Apis mellifera","Bees"
"134","Feijoa sellowiana (O.Berg) O.Berg","Myrtaceae","Argentina, Brazil, Uruguay","Nativa","Hymenoptera","Apidae","Bombus atratus","Bees"
"135","Feijoa sellowiana (O.Berg) O.Berg","Myrtaceae","Argentina, Brazil, Uruguay","Nativa","Hymenoptera","Apidae","Xylocopa augusti","Bees"
"136","Campomanesia velutina (Cambess.) O.Berg","Myrtaceae","Brazil","Nativa","Hymenoptera","Apidae","Bombus atratus","Bees"
"137","Campomanesia velutina (Cambess.) O.Berg","Myrtaceae","Brazil","Nativa","Hymenoptera","Apidae","Bombus morio","Bees"
"138","Annona montana Macfad","Annonaceae","Tropical America","Nativa","Coleoptera","Scarabaeidae","Cyclocephala picipes","Other insects"
"139","Syzygium cumini (L.) Skeels","Myrtaceae","Tropical & Subtropical Asia to N. Queensland.","Exotica","Hymenoptera","Apidae","Apis mellifera","Bees"
"140","Syzygium cumini (L.) Skeels","Myrtaceae","Tropical & Subtropical Asia to N. Queensland.","Exotica","Hymenoptera","Apidae","Scaptotrigona  sp.","Bees"
"141","Syzygium cumini (L.) Skeels","Myrtaceae","Tropical & Subtropical Asia to N. Queensland.","Exotica","Hymenoptera","Apidae","Tetragonisca sp.","Bees"
"142","Syzygium cumini (L.) Skeels","Myrtaceae","Tropical & Subtropical Asia to N. Queensland.","Exotica","Hymenoptera","Apidae","Trigona sp.","Bees"
"143","Jacaratia spinosa (Aubl.) A.DC.","Caricaceae","Central & S. Tropical America","Nativa","Lepidoptera","Sphingidae","Aellopos titan","Other insects"
"144","Hymenaea stigonocarpa Mart. ex Hayne","Fabaceae","Venezuela to Paraguay","Nativa","Chiroptera","Phyllostomidae","Carollia perspicillata","Vertebrates"
"145","Hymenaea stigonocarpa Mart. ex Hayne","Fabaceae","Venezuela to Paraguay","Nativa","Chiroptera","Phyllostomidae","Glossophaga soricina","Vertebrates"
"146","Hymenaea stigonocarpa Mart. ex Hayne","Fabaceae","Venezuela to Paraguay","Nativa","Chiroptera","Phyllostomidae","Plathyrrhinus lineatus","Vertebrates"
"147","Citrus limonum; Citrus aurantifolia","Rutaceae","China to Peninsula Malaysia, Borneo, Philippines","Exotica","Hymenoptera","Apidae","Apis mellifera","Bees"
"148","Macadamia integrifolia Maiden & Betche","Protaceae","New South Wales, Queensland","Exotica","Hymenoptera","Apidae","Apis mellifera","Bees"
"149","Ocimum basilicum; Ocimum selloi ","Lamiaceae","Tropics & Subtropics","Nativa","Hymenoptera","Apidae","Apis mellifera","Bees"
"150","Ocimum basilicum; Ocimum selloi ","Lamiaceae","Tropics & Subtropics","Nativa","Hymenoptera","Halictidae","Augochloropsis electra","Bees"
"151","Passiflora cincinnata Mast.","Passifloraceae","S. Tropical America","Nativa","Hymenoptera","Apidae","Centris sp.","Bees"
"152","Passiflora cincinnata Mast.","Passifloraceae","S. Tropical America","Nativa","Hymenoptera","Apidae","Xylocopa grisescens","Bees"
"153","Passiflora alata","Passifloraceae","Ecuador to Brazil and NE. Argentina","Nativa","Hymenoptera","Apidae","Acantophus excellens","Bees"
"154","Passiflora alata","Passifloraceae","Ecuador to Brazil and NE. Argentina","Nativa","Hymenoptera","Apidae","Bombus pauloensis","Bees"
"155","Passiflora alata","Passifloraceae","Ecuador to Brazil and NE. Argentina","Nativa","Hymenoptera","Apidae","Centris collaris","Bees"
"156","Passiflora alata","Passifloraceae","Ecuador to Brazil and NE. Argentina","Nativa","Hymenoptera","Apidae","Centris denudans","Bees"
"157","Passiflora alata","Passifloraceae","Ecuador to Brazil and NE. Argentina","Nativa","Hymenoptera","Apidae","Centris flavifrons","Bees"
"158","Passiflora alata","Passifloraceae","Ecuador to Brazil and NE. Argentina","Nativa","Hymenoptera","Apidae","Centris longimana","Bees"
